Obs#,Label,Exp_Flux,Date,Site,Plot,Experiment,Installed,Notes
1,93,2.61,2018-04-26T09:51:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
2,93,2.46,2018-04-26T09:52:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
3,76,6.1,2018-04-26T09:55:00Z,SERC,MSLE,Control,20180413,NA
4,76,5.48,2018-04-26T09:56:00Z,SERC,MSLE,Control,20180413,NA
5,74,2.18,2018-04-26T09:59:00Z,SERC,MSLE,Control,20180413,NA
6,74,1.28,2018-04-26T10:00:00Z,SERC,MSLE,Control,20180413,NA
7,94,3.04,2018-04-26T10:03:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
8,94,2.61,2018-04-26T10:04:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
9,73,3.59,2018-04-26T10:08:00Z,SERC,MSLE,Control,20180413,NA
10,73,2.46,2018-04-26T10:09:00Z,SERC,MSLE,Control,20180413,NA
11,96,4.55,2018-04-26T10:12:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
12,96,3.67,2018-04-26T10:13:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
13,75,2.96,2018-04-26T10:16:00Z,SERC,MSLE,Control,20180413,NA
14,75,2.17,2018-04-26T10:17:00Z,SERC,MSLE,Control,20180413,NA
15,95,5.69,2018-04-26T10:20:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
16,95,3.61,2018-04-26T10:22:00Z,SERC,MSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
17,111,3.66,2018-04-26T10:25:00Z,SERC,MSME,Control,20180413,NA
18,111,2.6,2018-04-26T10:26:00Z,SERC,MSME,Control,20180413,NA
19,110,3.82,2018-04-26T10:29:00Z,SERC,MSME,Control,20180413,NA
20,110,2.37,2018-04-26T10:30:00Z,SERC,MSME,Control,20180413,NA
21,109,3.03,2018-04-26T10:34:00Z,SERC,MSME,Control,20180413,NA
22,109,2.37,2018-04-26T10:35:00Z,SERC,MSME,Control,20180413,NA
23,112,3.71,2018-04-26T10:38:00Z,SERC,MSME,Control,20180413,NA
24,112,2.96,2018-04-26T10:39:00Z,SERC,MSME,Control,20180413,NA
25,114,2.5,2018-04-26T10:42:00Z,SERC,MSHE,Control,20180413,NA
26,114,2.34,2018-04-26T10:43:00Z,SERC,MSHE,Control,20180413,NA
27,113,3.07,2018-04-26T10:47:00Z,SERC,MSHE,Control,20180413,NA
28,113,2.09,2018-04-26T10:48:00Z,SERC,MSHE,Control,20180413,NA
29,115,3.12,2018-04-26T10:51:00Z,SERC,MSHE,Control,20180413,NA
30,115,2.2,2018-04-26T10:52:00Z,SERC,MSHE,Control,20180413,NA
31,116,3.04,2018-04-26T10:58:00Z,SERC,MSHE,Control,20180413,NA
32,116,2.17,2018-04-26T10:59:00Z,SERC,MSHE,Control,20180413,NA
33,79,3.25,2018-04-26T11:21:00Z,SERC,LSLE,Control,20180413,NA
34,79,2.51,2018-04-26T11:22:00Z,SERC,LSLE,Control,20180413,NA
35,97,3.21,2018-04-26T11:25:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
36,97,2.82,2018-04-26T11:26:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
37,77,2.86,2018-04-26T11:30:00Z,SERC,LSLE,Control,20180413,NA
38,77,1.78,2018-04-26T11:31:00Z,SERC,LSLE,Control,20180413,NA
39,80,3.18,2018-04-26T11:34:00Z,SERC,LSLE,Control,20180413,NA
40,80,2.3,2018-04-26T11:35:00Z,SERC,LSLE,Control,20180413,NA
41,100,3.01,2018-04-26T11:39:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
42,100,3.08,2018-04-26T11:40:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
43,78,3.69,2018-04-26T11:43:00Z,SERC,LSLE,Control,20180413,NA
44,78,3.14,2018-04-26T11:44:00Z,SERC,LSLE,Control,20180413,NA
45,99,3.05,2018-04-26T11:47:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
46,99,3.23,2018-04-26T11:49:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
47,98,3.22,2018-04-26T11:52:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
48,98,2.29,2018-04-26T11:53:00Z,SERC,LSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
49,119,3.04,2018-04-26T11:57:00Z,SERC,LSME,Control,20180413,NA
50,119,2.45,2018-04-26T11:58:00Z,SERC,LSME,Control,20180413,NA
51,117,3.69,2018-04-26T12:02:00Z,SERC,LSME,Control,20180413,NA
52,117,2.92,2018-04-26T12:03:00Z,SERC,LSME,Control,20180413,NA
53,120,2.64,2018-04-26T12:06:00Z,SERC,LSME,Control,20180413,NA
54,120,2.34,2018-04-26T12:07:00Z,SERC,LSME,Control,20180413,NA
55,118,5.8,2018-04-26T12:10:00Z,SERC,LSME,Control,20180413,NA
56,118,2.22,2018-04-26T12:11:00Z,SERC,LSME,Control,20180413,NA
57,121,5.53,2018-04-26T12:15:00Z,SERC,LSHE,Control,20180413,NA
58,121,3.88,2018-04-26T12:16:00Z,SERC,LSHE,Control,20180413,NA
59,123,4.58,2018-04-26T12:19:00Z,SERC,LSHE,Control,20180413,NA
60,123,4.28,2018-04-26T12:20:00Z,SERC,LSHE,Control,20180413,NA
61,122,3.56,2018-04-26T12:23:00Z,SERC,LSHE,Control,20180413,NA
62,122,2.94,2018-04-26T12:25:00Z,SERC,LSHE,Control,20180413,NA
63,124,3.23,2018-04-26T12:28:00Z,SERC,LSHE,Control,20180413,NA
64,124,2.89,2018-04-26T12:29:00Z,SERC,LSHE,Control,20180413,NA
65,88,3.64,2018-04-26T13:42:00Z,SERC,HSHE,Control,20180413,NA
66,88,3.61,2018-04-26T13:43:00Z,SERC,HSHE,Control,20180413,NA
67,106,3.66,2018-04-26T13:46:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
68,106,2.61,2018-04-26T13:47:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
69,86,2.86,2018-04-26T13:50:00Z,SERC,HSHE,Control,20180413,NA
70,86,1.69,2018-04-26T13:51:00Z,SERC,HSHE,Control,20180413,NA
71,108,1.69,2018-04-26T13:54:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
72,108,1.15,2018-04-26T13:55:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
73,87,2.53,2018-04-26T13:58:00Z,SERC,HSHE,Control,20180413,NA
74,87,1.88,2018-04-26T13:59:00Z,SERC,HSHE,Control,20180413,NA
75,107,2.57,2018-04-26T14:02:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
76,107,1.81,2018-04-26T14:03:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
77,85,3.58,2018-04-26T14:07:00Z,SERC,HSHE,Control,20180413,NA
78,85,3.2,2018-04-26T14:08:00Z,SERC,HSHE,Control,20180413,NA
79,105,2.7,2018-04-26T14:11:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
80,105,2.17,2018-04-26T14:12:00Z,SERC,HSHE,Control,20180413,Repurposed this trenched as extra control 4/7/18
81,104,4.01,2018-04-26T14:15:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
82,104,3.09,2018-04-26T14:16:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
83,82,5.55,2018-04-26T14:19:00Z,SERC,HSME,Control,20180413,NA
84,82,4.45,2018-04-26T14:20:00Z,SERC,HSME,Control,20180413,NA
85,83,4.23,2018-04-26T14:23:00Z,SERC,HSME,Control,20180413,NA
86,83,3.17,2018-04-26T14:24:00Z,SERC,HSME,Control,20180413,NA
87,101,5.41,2018-04-26T14:27:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
88,101,4.18,2018-04-26T14:28:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
89,81,3.88,2018-04-26T14:31:00Z,SERC,HSME,Control,20180413,NA
90,81,3.52,2018-04-26T14:32:00Z,SERC,HSME,Control,20180413,NA
91,102,3.66,2018-04-26T14:35:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
92,102,3.12,2018-04-26T14:36:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
93,103,4.3,2018-04-26T14:40:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
94,103,3.81,2018-04-26T14:41:00Z,SERC,HSME,Control,20180413,Repurposed this trenched as extra control 4/7/18
95,84,3.94,2018-04-26T14:44:00Z,SERC,HSME,Control,20180413,NA
96,84,3.77,2018-04-26T14:46:00Z,SERC,HSME,Control,20180413,NA
97,70,4.1,2018-04-26T14:51:00Z,SERC,HSLE,Control,20180413,NA
98,70,2.5,2018-04-26T14:52:00Z,SERC,HSLE,Control,20180413,NA
99,89,2.7,2018-04-26T14:57:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
100,89,2.31,2018-04-26T14:58:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
101,69,8.37,2018-04-26T15:01:00Z,SERC,HSLE,Control,20180413,NA
102,69,6.41,2018-04-26T15:02:00Z,SERC,HSLE,Control,20180413,NA
103,71,2.27,2018-04-26T15:06:00Z,SERC,HSLE,Control,20180413,NA
104,71,1.57,2018-04-26T15:07:00Z,SERC,HSLE,Control,20180413,NA
105,92,3.7,2018-04-26T15:10:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
106,92,6.48,2018-04-26T15:11:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
107,91,4.16,2018-04-26T15:15:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
108,91,2.87,2018-04-26T15:16:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
109,72,2.44,2018-04-26T15:19:00Z,SERC,HSLE,Control,20180413,NA
110,72,2.21,2018-04-26T15:20:00Z,SERC,HSLE,Control,20180413,NA
111,90,2.2,2018-04-26T15:23:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
112,90,1.59,2018-04-26T15:24:00Z,SERC,HSLE,Control,20180413,Repurposed this trenched as extra control 4/7/18
